signature_name,classification,source_type,source_id,risk,redacted_to_safe_routing,reason,recommended_action,files_present,htm_path,source_file
Mercury CRM Email Template 1 - New Contact Added Registered (Welcome Email),useful-after-polish,crm-email-template,1,routine-safe,False,CRM email template may contain useful customer-service wording but requires shortening/polish before use.,Polish into short client-specific reply before sending.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1 - New Contact Added Registered (Welcome Email).htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 10 - Send Estimate to Customer,archive/do-not-use,crm-email-template,10,restricted-safe-routing,False,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 10 - Send Estimate to Customer.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1064 - Forgot Password indonesia,archive/do-not-use,crm-email-template,1064,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1064 - Forgot Password indonesia.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1066 - Set New Password indonesia,archive/do-not-use,crm-email-template,1066,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1066 - Set New Password indonesia.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1067 - Forgot Password indonesia,archive/do-not-use,crm-email-template,1067,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1067 - Forgot Password indonesia.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 11 - Ticket Reply (Sent to Staff),archive/do-not-use,crm-email-template,11,routine-safe,False,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 11 - Ticket Reply (Sent to Staff).htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1157 - Forgot Password italian,archive/do-not-use,crm-email-template,1157,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1157 - Forgot Password italian.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1159 - Set New Password italian,archive/do-not-use,crm-email-template,1159,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1159 - Set New Password italian.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1160 - Forgot Password italian,archive/do-not-use,crm-email-template,1160,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1160 - Forgot Password italian.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 12 - Estimate Already Sent to Customer,archive/do-not-use,crm-email-template,12,routine-safe,False,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 12 - Estimate Already Sent to Customer.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
